Longitude,Latitude,name,type,area,Altitude,CO,NO2,NOx,O3,PM10,PM2.5,SO2
-7.900328,54.43951,Lough_Navar,background,rural,130,NA,NA,NA,68.85165,18.8,NA,NA
-7.329115,55.001225,Derry,background,urban,32,NA,10.71,19.69875,62.86455,25.6,11.3,6.65225
-6.654558,54.353728,Armagh_Roadside,traffic,urban,41,NA,33.08625,74.97,NA,35.2,NA,NA
-6.250873,54.861595,Ballymena_Ballykeel,background,urban,59,NA,NA,NA,NA,NA,NA,1.33045
-5.974944,54.572586,Belfast_Stockmans_Lane,traffic,urban,9,NA,66.36375,144.2025,NA,33.49866,NA,NA
-5.928833,54.59965,Belfast_Centre,background,urban,10,NA,NA,NA,NA,35.1,20.2,NA
-5.101102,56.82266,Fort_William,background,suburban,5,NA,5.355,10.71,83.42026,NA,NA,NA
-4.776583,57.734456,Strathvaich,background,rural,270,NA,NA,NA,NA,NA,NA,NA
-4.691462,51.781784,Narberth,background,rural,160,NA,0,0.3825,78.43101,29.2,NA,0.79827
-4.55973,55.943197,Dumbarton_Roadside,traffic,urban,3,NA,1.33875,1.53,NA,NA,NA,NA
-4.270936,55.872038,Glasgow_Great_Western_Road,background,rural,NA,NA,16.63875,24.28875,NA,NA,NA,NA
-4.258889,55.85917,Glasgow_Kerbside,traffic,urban,10,NA,50.68125,124.88625,NA,NA,NA,NA
-4.243631,55.865782,Glasgow_Townhead,background,urban,40,NA,17.02125,21.22875,59.07272,38.8,13.4,NA
-4.241451,57.481308,Inverness,traffic,urban,1,NA,29.4525,54.50625,NA,NA,NA,NA
-4.238214,55.860936,Glasgow_High_Street,background,urban,35,NA,20.2725,35.76375,NA,31.4,9.4,NA
-4.227678,50.411463,Saltash_Callington_Road,traffic,urban,65,NA,NA,NA,NA,NA,NA,NA
-4.142361,50.37167,Plymouth_Centre,background,urban,18,NA,17.02125,22.5675,53.48476,NA,NA,NA
-4.041924,51.074793,Barnstaple_A39,traffic,urban,13,NA,NA,NA,NA,NA,NA,NA
-3.947374,51.632696,Swansea_Roadside,traffic,urban,61,NA,15.3,32.70375,NA,32.4987,23.6,NA
-3.770822,51.58395,Port_Talbot_Margam,industrial,urban,5,1.560028,17.78625,26.96625,51.28949,82.8,18.2,55.8789
-3.71651,50.5976,Yarner_Wood,background,rural,119,NA,1.33875,2.86875,72.24434,NA,NA,NA
-3.710833,56.013142,Grangemouth_Moray,background,urban,4,NA,6.5025,8.415,NA,NA,NA,NA
-3.704399,56.010319,Grangemouth,industrial,urban,4,NA,NA,NA,NA,NA,NA,NA
-3.614233,55.070033,Dumfries,traffic,urban,10,NA,28.49625,81.28125,NA,NA,NA,NA
-3.532465,50.725083,Exeter_Roadside,traffic,urban,43,NA,NA,NA,NA,NA,NA,NA
-3.2429,55.79216,Auchencorth_Moss,background,rural,260,NA,NA,NA,70.24864,9.1,NA,NA
-3.206111,55.31531,Eskdalemuir,background,rural,255,NA,1.53,2.10375,76.23574,NA,NA,NA
-3.205782,55.862281,Bush_Estate,background,rural,180,NA,1.72125,3.06,77.03402,NA,NA,NA
-3.196702,50.792287,Honiton,background,urban,122,NA,4.39875,9.5625,NA,NA,NA,NA
-3.196527,55.657472,Peebles,background,urban,167,NA,3.06,4.01625,73.04262,NA,NA,NA
-3.182186,55.945589,Edinburgh_St_Leonards,background,urban,81,0.209556,9.945,15.6825,63.26369,13.5,6.4,2.6609
-3.17625,51.48178,Cardiff_Centre,background,urban,12,0.11642,17.9775,21.8025,59.07272,NA,NA,2.6609
-3.133508,51.680579,Hafod-yr-ynys_Roadside,background,urban,NA,NA,63.8775,181.6875,NA,NA,NA,NA
-3.034178,52.50385,Aston_Hill,background,rural,370,NA,0,1.33875,75.43746,NA,NA,NA
-3.022722,53.37287,Wirral_Tranmere,background,urban,38,NA,11.66625,14.9175,70.24864,NA,NA,NA
-3.007175,53.80489,Blackpool_Marton,background,urban,16,NA,NA,NA,NA,NA,NA,NA
-3.006953,51.6538,Cwmbran,background,urban,71,NA,NA,NA,71.24649,NA,NA,NA
-3.002778,53.04222,Wrexham,traffic,urban,70,NA,35.5725,39.015,NA,NA,NA,5.85398
-2.977281,51.601203,Newport,background,urban,24,NA,NA,NA,NA,NA,NA,NA
-2.9625,53.446944,Liverpool_Queens_Drive_Roadside,traffic,urban,32,NA,20.84625,43.03125,NA,NA,NA,NA
-2.945307,54.894834,Carlisle_Roadside,traffic,urban,11,NA,21.61125,39.97125,NA,NA,NA,NA
-2.844333,53.34633,Liverpool_Speke,background,urban,26,NA,NA,NA,NA,16.9,10.4,NA
-2.736665,52.22174,Leominster,background,suburban,75,NA,0.95625,2.10375,78.03187,NA,NA,NA
-2.68345,51.05625,Charlton_Mackrell,background,rural,54,NA,0.3825,3.825,76.63488,NA,NA,NA
-2.680353,53.76559,Preston,background,urban,40,NA,15.49125,22.185,67.25509,NA,NA,NA
-2.678731,51.638094,Chepstow_A48,traffic,urban,67,NA,NA,NA,NA,NA,NA,NA
