code	name	Component	type	area	variable	value	hour
GB0851A	Birmingham_Tyburn	NO2	background	urban	X00.00.00.59	44.7525	0
GB0851A	Birmingham_Tyburn	PM10	background	urban	X00.00.00.59	19.1	0
GB0851A	Birmingham_Tyburn	NO2	background	urban	X01.00.01.59	47.8125	1
GB0851A	Birmingham_Tyburn	PM10	background	urban	X01.00.01.59	18.3	1
GB0851A	Birmingham_Tyburn	NO2	background	urban	X02.00.02.59	27.34875	2
GB0851A	Birmingham_Tyburn	PM10	background	urban	X02.00.02.59	13.8	2
GB0851A	Birmingham_Tyburn	NO2	background	urban	X03.00.03.59	46.85625	3
GB0851A	Birmingham_Tyburn	PM10	background	urban	X03.00.03.59	14.3	3
GB0851A	Birmingham_Tyburn	NO2	background	urban	X04.00.04.59	66.74625	4
GB0851A	Birmingham_Tyburn	PM10	background	urban	X04.00.04.59	16.6	4
GB0851A	Birmingham_Tyburn	NO2	background	urban	X05.00.05.59	62.3475	5
GB0851A	Birmingham_Tyburn	PM10	background	urban	X05.00.05.59	16.6	5
GB0851A	Birmingham_Tyburn	NO2	background	urban	X06.00.06.59	61.2	6
GB0851A	Birmingham_Tyburn	PM10	background	urban	X06.00.06.59	16.9	6
GB0851A	Birmingham_Tyburn	NO2	background	urban	X07.00.07.59	76.1175	7
GB0851A	Birmingham_Tyburn	PM10	background	urban	X07.00.07.59	18.1	7
GB0851A	Birmingham_Tyburn	NO2	background	urban	X08.00.08.59	62.15625	8
GB0851A	Birmingham_Tyburn	PM10	background	urban	X08.00.08.59	18.5	8
GB0851A	Birmingham_Tyburn	NO2	background	urban	X09.00.09.59	47.0475	9
GB0851A	Birmingham_Tyburn	PM10	background	urban	X09.00.09.59	22.9	9
GB0851A	Birmingham_Tyburn	NO2	background	urban	X10.00.10.59	33.85125	10
GB0851A	Birmingham_Tyburn	PM10	background	urban	X10.00.10.59	22.4	10
GB0851A	Birmingham_Tyburn	NO2	background	urban	X11.00.11.59	25.81875	11
GB0851A	Birmingham_Tyburn	PM10	background	urban	X11.00.11.59	18.9	11
GB0851A	Birmingham_Tyburn	NO2	background	urban	X12.00.12.59	23.14125	12
GB0851A	Birmingham_Tyburn	PM10	background	urban	X12.00.12.59	17.5	12
GB0851A	Birmingham_Tyburn	NO2	background	urban	X13.00.13.59	29.4525	13
GB0851A	Birmingham_Tyburn	PM10	background	urban	X13.00.13.59	15.7	13
GB0851A	Birmingham_Tyburn	NO2	background	urban	X14.00.14.59	34.425	14
GB0851A	Birmingham_Tyburn	PM10	background	urban	X14.00.14.59	17.1	14
GB0851A	Birmingham_Tyburn	NO2	background	urban	X15.00.15.59	52.59375	15
GB0851A	Birmingham_Tyburn	PM10	background	urban	X15.00.15.59	19.6	15
GB0851A	Birmingham_Tyburn	NO2	background	urban	X16.00.16.59	49.53375	16
GB0851A	Birmingham_Tyburn	PM10	background	urban	X16.00.16.59	21.1	16
GB0851A	Birmingham_Tyburn	NO2	background	urban	X17.00.17.59	49.53375	17
GB0851A	Birmingham_Tyburn	PM10	background	urban	X17.00.17.59	20.9	17
GB0851A	Birmingham_Tyburn	NO2	background	urban	X18.00.18.59	56.61	18
GB0851A	Birmingham_Tyburn	PM10	background	urban	X18.00.18.59	21.6	18
GB0851A	Birmingham_Tyburn	NO2	background	urban	X19.00.19.59	47.0475	19
GB0851A	Birmingham_Tyburn	PM10	background	urban	X19.00.19.59	19	19
GB0851A	Birmingham_Tyburn	NO2	background	urban	X20.00.20.59	43.41375	20
GB0851A	Birmingham_Tyburn	PM10	background	urban	X20.00.20.59	21.6	20
GB0851A	Birmingham_Tyburn	NO2	background	urban	X21.00.21.59	41.6925	21
GB0851A	Birmingham_Tyburn	PM10	background	urban	X21.00.21.59	23	21
GB0851A	Birmingham_Tyburn	NO2	background	urban	X22.00.22.59	36.91125	22
GB0851A	Birmingham_Tyburn	PM10	background	urban	X22.00.22.59	19.3	22
GB0851A	Birmingham_Tyburn	NO2	background	urban	X23.00.23.59	28.49625	23
GB0851A	Birmingham_Tyburn	PM10	background	urban	X23.00.23.59	18.2	23
