code	name	Component	type	area	date	variable	value	hour	DateTime
GB0729A	Aberdeen	NO2	background	urban	2014-07-01	X00.00.00.59	39.4638	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-01	X00.00.00.59	8.305988	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-01	X00.00.00.59	12.3	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-02	X00.00.00.59	1.613512	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-02	X00.00.00.59	11.231475	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-02	X00.00.00.59	9	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-03	X00.00.00.59	0.05355	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-03	X00.00.00.59	3.067012	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-03	X00.00.00.59	13.5	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-04	X00.00.00.59	7.661475	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-04	X00.00.00.59	1.797112	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-04	X00.00.00.59	16.3	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-05	X00.00.00.59	0.566737	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-05	X00.00.00.59	2.191725	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-05	X00.00.00.59	14.8	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-06	X00.00.00.59	12.087637	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-06	X00.00.00.59	2.120325	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-06	X00.00.00.59	14.5	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-07	X00.00.00.59	39.289762	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-07	X00.00.00.59	0.988763	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-07	X00.00.00.59	12.1	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-08	X00.00.00.59	30.855637	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-08	X00.00.00.59	1.844925	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-08	X00.00.00.59	13.1	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-09	X00.00.00.59	2.609925	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-09	X00.00.00.59	1.646663	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-09	X00.00.00.59	14.8	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-10	X00.00.00.59	0.222487	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-10	X00.00.00.59	2.630325	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-10	X00.00.00.59	10.4	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-11	X00.00.00.59	1.079925	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-11	X00.00.00.59	2.6214	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-11	X00.00.00.59	9.2	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-12	X00.00.00.59	9.977513	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-12	X00.00.00.59	3.469275	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-12	X00.00.00.59	10.5	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-13	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-13	X00.00.00.59	2.34855	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-13	X00.00.00.59	16.6	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-14	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-14	X00.00.00.59	1.36935	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-14	X00.00.00.59	9	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-15	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-15	X00.00.00.59	0.97155	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-15	X00.00.00.59	5.7	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-16	X00.00.00.59	14.088112	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-16	X00.00.00.59	1.943737	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-16	X00.00.00.59	12.5	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-17	X00.00.00.59	1.471987	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-17	X00.00.00.59	1.349587	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-17	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-18	X00.00.00.59	15.9834	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-18	X00.00.00.59	9.958388	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-18	X00.00.00.59	4.2	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-19	X00.00.00.59	6.554138	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-19	X00.00.00.59	4.834162	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-19	X00.00.00.59	6.3	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-20	X00.00.00.59	18.915262	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-20	X00.00.00.59	2.505375	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-20	X00.00.00.59	29	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-21	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-21	X00.00.00.59	2.049562	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-21	X00.00.00.59	11.3	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-22	X00.00.00.59	62.436112	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-22	X00.00.00.59	2.110125	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-22	X00.00.00.59	11.1	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-23	X00.00.00.59	52.822612	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-23	X00.00.00.59	7.41795	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-23	X00.00.00.59	10.9	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-24	X00.00.00.59	7.82595	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-24	X00.00.00.59	6.510787	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-24	X00.00.00.59	10.6	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-25	X00.00.00.59	41.584125	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-25	X00.00.00.59	6.563062	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-25	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-26	X00.00.00.59	44.482838	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-26	X00.00.00.59	7.75455	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-26	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-27	X00.00.00.59	11.476275	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-27	X00.00.00.59	3.424012	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-27	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-28	X00.00.00.59	14.529263	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-28	X00.00.00.59	3.225112	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-28	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-29	X00.00.00.59	15.15465	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-29	X00.00.00.59	3.782925	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-29	X00.00.00.59	13.4	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-30	X00.00.00.59	1.299862	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-30	X00.00.00.59	2.828588	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-30	X00.00.00.59	5.2	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-07-31	X00.00.00.59	10.8936	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-07-31	X00.00.00.59	1.816875	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-07-31	X00.00.00.59	7.8	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-01	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-01	X00.00.00.59	1.625625	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-01	X00.00.00.59	13.1	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-02	X00.00.00.59	20.188987	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-02	X00.00.00.59	3.810337	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-02	X00.00.00.59	15.7	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-03	X00.00.00.59	5.346712	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-03	X00.00.00.59	1.058887	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-03	X00.00.00.59	15.2	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-04	X00.00.00.59	6.651037	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-04	X00.00.00.59	1.1169	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-04	X00.00.00.59	9.4	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-05	X00.00.00.59	2.898075	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-05	X00.00.00.59	1.926525	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-05	X00.00.00.59	8.9	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-06	X00.00.00.59	NA	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-06	X00.00.00.59	2.168775	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-06	X00.00.00.59	8.7	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-07	X00.00.00.59	11.988825	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-07	X00.00.00.59	1.855125	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-07	X00.00.00.59	9.4	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-08	X00.00.00.59	8.405438	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-08	X00.00.00.59	8.029312	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-08	X00.00.00.59	11.8	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-09	X00.00.00.59	10.801162	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-09	X00.00.00.59	1.9686	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-09	X00.00.00.59	15.2	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-10	X00.00.00.59	11.19705	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-10	X00.00.00.59	3.012825	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-10	X00.00.00.59	10	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-11	X00.00.00.59	3.5139	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-11	X00.00.00.59	0.427125	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-11	X00.00.00.59	10.7	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-12	X00.00.00.59	-0.075862	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-12	X00.00.00.59	0.606263	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-12	X00.00.00.59	6.4	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-13	X00.00.00.59	3.956325	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-13	X00.00.00.59	0.603712	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-13	X00.00.00.59	4.6	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-14	X00.00.00.59	6.733275	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-14	X00.00.00.59	1.030838	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-14	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-19	X00.00.00.59	1.806675	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-19	X00.00.00.59	0.960712	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-19	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-20	X00.00.00.59	5.218575	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-20	X00.00.00.59	0.956887	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-20	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-21	X00.00.00.59	4.027087	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-21	X00.00.00.59	0.958163	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-21	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-22	X00.00.00.59	8.967713	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-22	X00.00.00.59	1.078012	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-22	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-23	X00.00.00.59	13.827375	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-23	X00.00.00.59	1.079287	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-23	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-24	X00.00.00.59	4.854562	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-24	X00.00.00.59	0.7752	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-24	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-25	X00.00.00.59	41.033962	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-25	X00.00.00.59	3.565537	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-08-25	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-08-26	X00.00.00.59	2.541075	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-08-26	X00.00.00.59	8.45325	0	2014-07-01
